
TASKTYPE,ECCMAGNITUDE,TRIAL,RT,CUE,CUEVALIDITY,STIMCOLOR,STIMLOC,RESPONSE,CORRECTRESPONSE,ACCURACY,STIMWAITTIME,TAG,RULES
ENDOATTNTASK,7 DVA,41,346,>,VALID 80%,Blue,7,F,F,CORRECT,954,Draft,EPIC
ENDOATTNTASK,7 DVA,42,445,+,NEUTRAL 50%,Yellow,-7,J,J,CORRECT,855,Draft,EPIC
ENDOATTNTASK,7 DVA,43,553,>,INVALID 20%,Blue,-7,F,F,CORRECT,547,Draft,EPIC
ENDOATTNTASK,7 DVA,44,460,>,VALID 80%,Green,7,J,J,CORRECT,1190,Draft,EPIC
ENDOATTNTASK,7 DVA,45,461,>,VALID 80%,Blue,7,F,F,CORRECT,539,Draft,EPIC
ENDOATTNTASK,7 DVA,46,439,+,NEUTRAL 50%,Green,-7,J,J,CORRECT,561,Draft,EPIC
ENDOATTNTASK,7 DVA,47,434,+,NEUTRAL 50%,Blue,-7,F,F,CORRECT,616,Draft,EPIC
ENDOATTNTASK,7 DVA,48,355,<,VALID 80%,Red,-7,F,F,CORRECT,1295,Draft,EPIC
ENDOATTNTASK,7 DVA,49,453,>,VALID 80%,Yellow,7,J,J,CORRECT,947,Draft,EPIC
ENDOATTNTASK,7 DVA,50,330,+,NEUTRAL 50%,Yellow,-7,J,J,CORRECT,820,Draft,EPIC
ENDOATTNTASK,7 DVA,51,423,<,VALID 80%,Blue,-7,F,F,CORRECT,1277,Draft,EPIC
ENDOATTNTASK,7 DVA,52,454,>,VALID 80%,Yellow,7,J,J,CORRECT,1096,Draft,EPIC
ENDOATTNTASK,7 DVA,53,531,+,NEUTRAL 50%,Blue,7,F,F,CORRECT,919,Draft,EPIC
ENDOATTNTASK,7 DVA,54,453,<,VALID 80%,Green,-7,J,J,CORRECT,647,Draft,EPIC
ENDOATTNTASK,7 DVA,55,360,<,VALID 80%,Yellow,-7,J,J,CORRECT,790,Draft,EPIC
ENDOATTNTASK,7 DVA,56,339,<,VALID 80%,Yellow,-7,J,J,CORRECT,661,Draft,EPIC
ENDOATTNTASK,7 DVA,57,545,>,INVALID 20%,Blue,-7,F,F,CORRECT,505,Draft,EPIC
ENDOATTNTASK,7 DVA,58,521,>,INVALID 20%,Yellow,-7,J,J,CORRECT,529,Draft,EPIC
ENDOATTNTASK,7 DVA,59,533,>,INVALID 20%,Blue,-7,F,F,CORRECT,967,Draft,EPIC
ENDOATTNTASK,7 DVA,60,367,<,VALID 80%,Red,-7,F,F,CORRECT,583,Draft,EPIC
ENDOATTNTASK,7 DVA,61,344,+,NEUTRAL 50%,Blue,-7,F,F,CORRECT,1056,Draft,EPIC
ENDOATTNTASK,7 DVA,62,348,>,VALID 80%,Red,7,F,F,CORRECT,602,Draft,EPIC
ENDOATTNTASK,7 DVA,63,345,>,VALID 80%,Blue,7,F,F,CORRECT,1205,Draft,EPIC
ENDOATTNTASK,7 DVA,64,462,>,VALID 80%,Yellow,7,J,J,CORRECT,538,Draft,EPIC
ENDOATTNTASK,7 DVA,65,419,<,INVALID 20%,Green,7,J,J,CORRECT,781,Draft,EPIC
ENDOATTNTASK,7 DVA,66,426,<,INVALID 20%,Yellow,7,J,J,CORRECT,974,Draft,EPIC
ENDOATTNTASK,7 DVA,67,541,>,INVALID 20%,Red,-7,F,F,CORRECT,1109,Draft,EPIC
ENDOATTNTASK,7 DVA,68,461,<,VALID 80%,Yellow,-7,J,J,CORRECT,1239,Draft,EPIC
ENDOATTNTASK,7 DVA,69,450,>,VALID 80%,Blue,7,F,F,CORRECT,900,Draft,EPIC
ENDOATTNTASK,7 DVA,70,334,<,VALID 80%,Red,-7,F,F,CORRECT,816,Draft,EPIC
ENDOATTNTASK,7 DVA,71,331,<,VALID 80%,Red,-7,F,F,CORRECT,1119,Draft,EPIC
ENDOATTNTASK,7 DVA,72,439,<,VALID 80%,Green,-7,J,J,CORRECT,1161,Draft,EPIC
ENDOATTNTASK,7 DVA,73,550,<,INVALID 20%,Red,7,F,F,CORRECT,750,Draft,EPIC
ENDOATTNTASK,7 DVA,74,449,+,NEUTRAL 50%,Red,7,F,F,CORRECT,1051,Draft,EPIC
ENDOATTNTASK,7 DVA,75,358,<,VALID 80%,Red,-7,F,F,CORRECT,992,Draft,EPIC
ENDOATTNTASK,7 DVA,76,540,<,INVALID 20%,Yellow,7,J,J,CORRECT,710,Draft,EPIC
ENDOATTNTASK,7 DVA,77,434,>,INVALID 20%,Yellow,-7,J,J,CORRECT,1216,Draft,EPIC
ENDOATTNTASK,7 DVA,78,364,>,VALID 80%,Yellow,7,J,J,CORRECT,736,Draft,EPIC
ENDOATTNTASK,7 DVA,79,535,+,NEUTRAL 50%,Blue,7,F,F,CORRECT,1165,Draft,EPIC
ENDOATTNTASK,7 DVA,80,369,<,VALID 80%,Blue,-7,F,F,CORRECT,981,Draft,EPIC
ENDOATTNTASK,7 DVA,81,337,<,VALID 80%,Red,-7,F,F,CORRECT,663,Draft,EPIC
ENDOATTNTASK,7 DVA,82,367,<,VALID 80%,Blue,-7,F,F,CORRECT,533,Draft,EPIC
ENDOATTNTASK,7 DVA,83,454,>,VALID 80%,Yellow,7,J,J,CORRECT,896,Draft,EPIC
ENDOATTNTASK,7 DVA,84,334,<,VALID 80%,Yellow,-7,J,J,CORRECT,1116,Draft,EPIC
ENDOATTNTASK,7 DVA,85,341,>,VALID 80%,Yellow,7,J,J,CORRECT,1259,Draft,EPIC
ENDOATTNTASK,7 DVA,86,428,<,VALID 80%,Red,-7,F,F,CORRECT,1172,Draft,EPIC
ENDOATTNTASK,7 DVA,87,451,+,NEUTRAL 50%,Green,-7,J,J,CORRECT,1099,Draft,EPIC
ENDOATTNTASK,7 DVA,88,454,+,NEUTRAL 50%,Blue,-7,F,F,CORRECT,596,Draft,EPIC
ENDOATTNTASK,7 DVA,89,517,<,INVALID 20%,Green,7,J,J,CORRECT,933,Draft,EPIC
ENDOATTNTASK,7 DVA,90,554,+,NEUTRAL 50%,Blue,7,F,F,CORRECT,1296,Draft,EPIC
ENDOATTNTASK,7 DVA,91,515,<,INVALID 20%,Green,7,J,J,CORRECT,1035,Draft,EPIC
ENDOATTNTASK,7 DVA,92,360,<,VALID 80%,Yellow,-7,J,J,CORRECT,840,Draft,EPIC
ENDOATTNTASK,7 DVA,93,431,>,VALID 80%,Red,7,F,F,CORRECT,1069,Draft,EPIC
ENDOATTNTASK,7 DVA,94,474,>,VALID 80%,Yellow,7,J,J,CORRECT,1276,Draft,EPIC
ENDOATTNTASK,7 DVA,95,512,+,NEUTRAL 50%,Blue,7,F,F,CORRECT,1138,Draft,EPIC
ENDOATTNTASK,7 DVA,96,450,+,NEUTRAL 50%,Yellow,-7,J,J,CORRECT,650,Draft,EPIC
ENDOATTNTASK,7 DVA,97,414,+,NEUTRAL 50%,Yellow,7,J,J,CORRECT,1186,Draft,EPIC
ENDOATTNTASK,7 DVA,98,462,>,VALID 80%,Red,7,F,F,CORRECT,988,Draft,EPIC
ENDOATTNTASK,7 DVA,99,366,+,NEUTRAL 50%,Blue,-7,F,F,CORRECT,1184,Draft,EPIC
ENDOATTNTASK,7 DVA,100,428,+,NEUTRAL 50%,Blue,7,F,F,CORRECT,722,Draft,EPIC
ENDOATTNTASK,7 DVA,101,347,<,VALID 80%,Red,-7,F,F,CORRECT,1153,Draft,EPIC
ENDOATTNTASK,7 DVA,102,447,<,VALID 80%,Yellow,-7,J,J,CORRECT,1053,Draft,EPIC
ENDOATTNTASK,7 DVA,103,516,+,NEUTRAL 50%,Red,7,F,F,CORRECT,834,Draft,EPIC
ENDOATTNTASK,7 DVA,104,559,>,INVALID 20%,Yellow,-7,J,J,CORRECT,591,Draft,EPIC
ENDOATTNTASK,7 DVA,105,338,<,VALID 80%,Yellow,-7,J,J,CORRECT,1212,Draft,EPIC
ENDOATTNTASK,7 DVA,106,371,>,VALID 80%,Yellow,7,J,J,CORRECT,1029,Draft,EPIC
ENDOATTNTASK,7 DVA,107,341,+,NEUTRAL 50%,Green,-7,J,J,CORRECT,759,Draft,EPIC
ENDOATTNTASK,7 DVA,108,432,>,VALID 80%,Blue,7,F,F,CORRECT,618,Draft,EPIC
ENDOATTNTASK,7 DVA,109,366,+,NEUTRAL 50%,Red,-7,F,F,CORRECT,734,Draft,EPIC
ENDOATTNTASK,7 DVA,110,435,+,NEUTRAL 50%,Yellow,-7,J,J,CORRECT,1015,Draft,EPIC
ENDOATTNTASK,7 DVA,111,542,+,NEUTRAL 50%,Red,7,F,F,CORRECT,658,Draft,EPIC
ENDOATTNTASK,7 DVA,112,330,<,VALID 80%,Red,-7,F,F,CORRECT,820,Draft,EPIC
ENDOATTNTASK,7 DVA,113,328,<,VALID 80%,Red,-7,F,F,CORRECT,872,Draft,EPIC
ENDOATTNTASK,7 DVA,114,472,>,VALID 80%,Green,7,J,J,CORRECT,728,Draft,EPIC
ENDOATTNTASK,7 DVA,115,470,>,VALID 80%,Red,7,F,F,CORRECT,880,Draft,EPIC
ENDOATTNTASK,7 DVA,116,460,<,VALID 80%,Green,-7,J,J,CORRECT,1140,Draft,EPIC
ENDOATTNTASK,7 DVA,117,453,>,VALID 80%,Red,7,F,F,CORRECT,897,Draft,EPIC
ENDOATTNTASK,7 DVA,118,353,>,VALID 80%,Red,7,F,F,CORRECT,847,Draft,EPIC
ENDOATTNTASK,7 DVA,119,355,>,VALID 80%,Blue,7,F,F,CORRECT,695,Draft,EPIC
ENDOATTNTASK,7 DVA,120,432,>,INVALID 20%,Red,-7,F,F,CORRECT,618,Draft,EPIC
ENDOATTNTASK,7 DVA,121,509,+,NEUTRAL 50%,Yellow,7,J,J,CORRECT,591,Draft,EPIC
ENDOATTNTASK,7 DVA,122,344,<,VALID 80%,Green,-7,J,J,CORRECT,906,Draft,EPIC
ENDOATTNTASK,7 DVA,123,375,>,VALID 80%,Yellow,7,J,J,CORRECT,775,Draft,EPIC
ENDOATTNTASK,7 DVA,124,455,<,VALID 80%,Blue,-7,F,F,CORRECT,1045,Draft,EPIC
ENDOATTNTASK,7 DVA,125,331,+,NEUTRAL 50%,Blue,-7,F,F,CORRECT,519,Draft,EPIC
ENDOATTNTASK,7 DVA,126,440,<,VALID 80%,Green,-7,J,J,CORRECT,910,Draft,EPIC
ENDOATTNTASK,7 DVA,127,339,+,NEUTRAL 50%,Green,-7,J,J,CORRECT,511,Draft,EPIC
ENDOATTNTASK,7 DVA,128,462,>,VALID 80%,Red,7,F,F,CORRECT,1288,Draft,EPIC
ENDOATTNTASK,7 DVA,129,373,>,VALID 80%,Blue,7,F,F,CORRECT,777,Draft,EPIC
ENDOATTNTASK,7 DVA,130,410,<,INVALID 20%,Red,7,F,F,CORRECT,990,Draft,EPIC
ENDOATTNTASK,7 DVA,131,463,<,VALID 80%,Green,-7,J,J,CORRECT,1037,Draft,EPIC
ENDOATTNTASK,7 DVA,132,452,<,VALID 80%,Blue,-7,F,F,CORRECT,798,Draft,EPIC
ENDOATTNTASK,7 DVA,133,328,<,VALID 80%,Blue,-7,F,F,CORRECT,672,Draft,EPIC
ENDOATTNTASK,7 DVA,134,544,+,NEUTRAL 50%,Yellow,7,J,J,CORRECT,1156,Draft,EPIC
ENDOATTNTASK,7 DVA,135,452,<,VALID 80%,Blue,-7,F,F,CORRECT,648,Draft,EPIC
ENDOATTNTASK,7 DVA,136,356,<,VALID 80%,Red,-7,F,F,CORRECT,1194,Draft,EPIC
ENDOATTNTASK,7 DVA,137,359,+,NEUTRAL 50%,Blue,-7,F,F,CORRECT,841,Draft,EPIC
ENDOATTNTASK,7 DVA,138,340,<,VALID 80%,Red,-7,F,F,CORRECT,710,Draft,EPIC
ENDOATTNTASK,7 DVA,139,355,<,VALID 80%,Red,-7,F,F,CORRECT,995,Draft,EPIC
ENDOATTNTASK,7 DVA,140,419,+,NEUTRAL 50%,Blue,7,F,F,CORRECT,681,Draft,EPIC
ENDOATTNTASK,7 DVA,141,448,>,VALID 80%,Yellow,7,J,J,CORRECT,752,Draft,EPIC
ENDOATTNTASK,7 DVA,142,449,>,INVALID 20%,Green,-7,J,J,CORRECT,901,Draft,EPIC
ENDOATTNTASK,7 DVA,143,432,<,INVALID 20%,Yellow,7,J,J,CORRECT,818,Draft,EPIC
ENDOATTNTASK,7 DVA,144,468,>,VALID 80%,Red,7,F,F,CORRECT,1282,Draft,EPIC
ENDOATTNTASK,7 DVA,145,361,<,VALID 80%,Red,-7,F,F,CORRECT,1089,Draft,EPIC
ENDOATTNTASK,7 DVA,146,350,<,VALID 80%,Blue,-7,F,F,CORRECT,1200,Draft,EPIC
ENDOATTNTASK,7 DVA,147,455,<,VALID 80%,Yellow,-7,J,J,CORRECT,1295,Draft,EPIC
ENDOATTNTASK,7 DVA,148,552,>,INVALID 20%,Blue,-7,F,F,CORRECT,998,Draft,EPIC
ENDOATTNTASK,7 DVA,149,356,<,VALID 80%,Red,-7,F,F,CORRECT,644,Draft,EPIC
ENDOATTNTASK,7 DVA,150,428,+,NEUTRAL 50%,Green,-7,J,J,CORRECT,1072,Draft,EPIC
ENDOATTNTASK,7 DVA,151,461,<,VALID 80%,Blue,-7,F,F,CORRECT,1039,Draft,EPIC
ENDOATTNTASK,7 DVA,152,424,<,VALID 80%,Yellow,-7,J,J,CORRECT,726,Draft,EPIC
ENDOATTNTASK,7 DVA,153,326,+,NEUTRAL 50%,Green,-7,J,J,CORRECT,974,Draft,EPIC
ENDOATTNTASK,7 DVA,154,465,>,INVALID 20%,Yellow,-7,J,J,CORRECT,985,Draft,EPIC
ENDOATTNTASK,7 DVA,155,438,+,NEUTRAL 50%,Green,7,J,J,CORRECT,812,Draft,EPIC
ENDOATTNTASK,7 DVA,156,450,<,VALID 80%,Blue,-7,F,F,CORRECT,1150,Draft,EPIC
ENDOATTNTASK,7 DVA,157,434,<,VALID 80%,Yellow,-7,J,J,CORRECT,1166,Draft,EPIC
ENDOATTNTASK,7 DVA,158,554,+,NEUTRAL 50%,Blue,7,F,F,CORRECT,996,Draft,EPIC
ENDOATTNTASK,7 DVA,159,364,+,NEUTRAL 50%,Blue,-7,F,F,CORRECT,986,Draft,EPIC
ENDOATTNTASK,7 DVA,160,355,+,NEUTRAL 50%,Blue,-7,F,F,CORRECT,795,Draft,EPIC
ENDOATTNTASK,7 DVA,161,442,>,VALID 80%,Yellow,7,J,J,CORRECT,558,Draft,EPIC
ENDOATTNTASK,7 DVA,162,329,<,VALID 80%,Green,-7,J,J,CORRECT,1121,Draft,EPIC
ENDOATTNTASK,7 DVA,163,448,<,VALID 80%,Red,-7,F,F,CORRECT,652,Draft,EPIC
ENDOATTNTASK,7 DVA,164,365,<,VALID 80%,Blue,-7,F,F,CORRECT,1235,Draft,EPIC
ENDOATTNTASK,7 DVA,165,362,>,VALID 80%,Red,7,F,F,CORRECT,938,Draft,EPIC
ENDOATTNTASK,7 DVA,166,552,<,INVALID 20%,Yellow,7,J,J,CORRECT,848,Draft,EPIC
ENDOATTNTASK,7 DVA,167,445,>,VALID 80%,Red,7,F,F,CORRECT,1105,Draft,EPIC
ENDOATTNTASK,7 DVA,168,459,+,NEUTRAL 50%,Yellow,-7,J,J,CORRECT,1191,Draft,EPIC
ENDOATTNTASK,7 DVA,169,350,<,VALID 80%,Yellow,-7,J,J,CORRECT,1200,Draft,EPIC
ENDOATTNTASK,7 DVA,170,323,<,VALID 80%,Yellow,-7,J,J,CORRECT,677,Draft,EPIC
ENDOATTNTASK,7 DVA,171,336,<,VALID 80%,Yellow,-7,J,J,CORRECT,964,Draft,EPIC
ENDOATTNTASK,7 DVA,172,555,+,NEUTRAL 50%,Blue,7,F,F,CORRECT,1095,Draft,EPIC
ENDOATTNTASK,7 DVA,173,433,+,NEUTRAL 50%,Green,-7,J,J,CORRECT,667,Draft,EPIC
ENDOATTNTASK,7 DVA,174,545,+,NEUTRAL 50%,Blue,7,F,F,CORRECT,655,Draft,EPIC
ENDOATTNTASK,7 DVA,175,536,+,NEUTRAL 50%,Yellow,7,J,J,CORRECT,664,Draft,EPIC
ENDOATTNTASK,7 DVA,176,440,+,NEUTRAL 50%,Yellow,7,J,J,CORRECT,860,Draft,EPIC
ENDOATTNTASK,7 DVA,177,469,<,VALID 80%,Blue,-7,F,F,CORRECT,681,Draft,EPIC
ENDOATTNTASK,7 DVA,178,356,+,NEUTRAL 50%,Blue,-7,F,F,CORRECT,544,Draft,EPIC
ENDOATTNTASK,7 DVA,179,468,>,VALID 80%,Green,7,J,J,CORRECT,982,Draft,EPIC
ENDOATTNTASK,7 DVA,180,532,+,NEUTRAL 50%,Red,7,F,F,CORRECT,1218,Draft,EPIC
ENDOATTNTASK,7 DVA,181,414,+,NEUTRAL 50%,Blue,7,F,F,CORRECT,1286,Draft,EPIC
ENDOATTNTASK,7 DVA,182,519,+,NEUTRAL 50%,Green,7,J,J,CORRECT,1081,Draft,EPIC
ENDOATTNTASK,7 DVA,183,452,<,INVALID 20%,Yellow,7,J,J,CORRECT,898,Draft,EPIC
ENDOATTNTASK,7 DVA,184,346,+,NEUTRAL 50%,Yellow,-7,J,J,CORRECT,804,Draft,EPIC
ENDOATTNTASK,7 DVA,185,346,>,VALID 80%,Yellow,7,J,J,CORRECT,954,Draft,EPIC
ENDOATTNTASK,7 DVA,186,347,>,VALID 80%,Yellow,7,J,J,CORRECT,1003,Draft,EPIC
ENDOATTNTASK,7 DVA,187,466,<,VALID 80%,Red,-7,F,F,CORRECT,784,Draft,EPIC
ENDOATTNTASK,7 DVA,188,459,<,VALID 80%,Green,-7,J,J,CORRECT,1191,Draft,EPIC
ENDOATTNTASK,7 DVA,189,441,>,VALID 80%,Red,7,F,F,CORRECT,809,Draft,EPIC
ENDOATTNTASK,7 DVA,190,543,<,INVALID 20%,Yellow,7,J,J,CORRECT,1207,Draft,EPIC
ENDOATTNTASK,7 DVA,191,354,+,NEUTRAL 50%,Yellow,-7,J,J,CORRECT,946,Draft,EPIC
ENDOATTNTASK,7 DVA,192,444,>,VALID 80%,Blue,7,F,F,CORRECT,1056,Draft,EPIC
ENDOATTNTASK,7 DVA,193,350,<,VALID 80%,Blue,-7,F,F,CORRECT,1250,Draft,EPIC
ENDOATTNTASK,7 DVA,194,455,+,NEUTRAL 50%,Green,-7,J,J,CORRECT,1095,Draft,EPIC
ENDOATTNTASK,7 DVA,195,463,<,VALID 80%,Blue,-7,F,F,CORRECT,1187,Draft,EPIC
ENDOATTNTASK,7 DVA,196,557,+,NEUTRAL 50%,Green,7,J,J,CORRECT,1193,Draft,EPIC
ENDOATTNTASK,7 DVA,197,553,<,INVALID 20%,Blue,7,F,F,CORRECT,897,Draft,EPIC
ENDOATTNTASK,7 DVA,198,557,+,NEUTRAL 50%,Yellow,7,J,J,CORRECT,943,Draft,EPIC
ENDOATTNTASK,7 DVA,199,440,>,VALID 80%,Red,7,F,F,CORRECT,910,Draft,EPIC
ENDOATTNTASK,7 DVA,200,550,<,INVALID 20%,Yellow,7,J,J,CORRECT,1200,Draft,EPIC
ENDOATTNTASK,7 DVA,1,513,<,VALID 80%,Blue,-7,F,F,CORRECT,711,Draft,EPIC
ENDOATTNTASK,7 DVA,2,429,+,NEUTRAL 50%,Red,7,F,F,CORRECT,621,Draft,EPIC
ENDOATTNTASK,7 DVA,3,443,>,VALID 80%,Yellow,7,J,J,CORRECT,907,Draft,EPIC
ENDOATTNTASK,7 DVA,4,443,+,NEUTRAL 50%,Blue,-7,F,F,CORRECT,1157,Draft,EPIC
ENDOATTNTASK,7 DVA,5,533,<,INVALID 20%,Green,7,J,J,CORRECT,1067,Draft,EPIC
ENDOATTNTASK,7 DVA,6,439,<,VALID 80%,Blue,-7,F,F,CORRECT,1061,Draft,EPIC
ENDOATTNTASK,7 DVA,7,412,+,NEUTRAL 50%,Red,7,F,F,CORRECT,1038,Draft,EPIC
ENDOATTNTASK,7 DVA,8,452,+,NEUTRAL 50%,Red,7,F,F,CORRECT,998,Draft,EPIC
ENDOATTNTASK,7 DVA,9,367,<,VALID 80%,Blue,-7,F,F,CORRECT,1133,Draft,EPIC
ENDOATTNTASK,7 DVA,10,376,>,VALID 80%,Blue,7,F,F,CORRECT,824,Draft,EPIC
ENDOATTNTASK,7 DVA,11,562,>,INVALID 20%,Yellow,-7,J,J,CORRECT,538,Draft,EPIC
ENDOATTNTASK,7 DVA,12,357,+,NEUTRAL 50%,Yellow,-7,J,J,CORRECT,1143,Draft,EPIC
ENDOATTNTASK,7 DVA,13,447,>,VALID 80%,Blue,7,F,F,CORRECT,1153,Draft,EPIC
ENDOATTNTASK,7 DVA,14,356,>,VALID 80%,Blue,7,F,F,CORRECT,1194,Draft,EPIC
ENDOATTNTASK,7 DVA,15,347,>,VALID 80%,Blue,7,F,F,CORRECT,703,Draft,EPIC
ENDOATTNTASK,7 DVA,16,412,+,NEUTRAL 50%,Red,7,F,F,CORRECT,1038,Draft,EPIC
ENDOATTNTASK,7 DVA,17,345,>,VALID 80%,Red,7,F,F,CORRECT,755,Draft,EPIC
ENDOATTNTASK,7 DVA,18,344,<,VALID 80%,Red,-7,F,F,CORRECT,1206,Draft,EPIC
ENDOATTNTASK,7 DVA,19,369,+,NEUTRAL 50%,Blue,-7,F,F,CORRECT,1081,Draft,EPIC
ENDOATTNTASK,7 DVA,20,357,<,VALID 80%,Red,-7,F,F,CORRECT,593,Draft,EPIC
ENDOATTNTASK,7 DVA,21,433,+,NEUTRAL 50%,Green,-7,J,J,CORRECT,1017,Draft,EPIC
ENDOATTNTASK,7 DVA,22,339,+,NEUTRAL 50%,Green,-7,J,J,CORRECT,561,Draft,EPIC
ENDOATTNTASK,7 DVA,23,463,+,NEUTRAL 50%,Red,-7,F,F,CORRECT,837,Draft,EPIC
ENDOATTNTASK,7 DVA,24,461,>,VALID 80%,Yellow,7,J,J,CORRECT,839,Draft,EPIC
ENDOATTNTASK,7 DVA,25,369,>,VALID 80%,Green,7,J,J,CORRECT,781,Draft,EPIC
ENDOATTNTASK,7 DVA,26,432,<,INVALID 20%,Green,7,J,J,CORRECT,968,Draft,EPIC
ENDOATTNTASK,7 DVA,27,442,+,NEUTRAL 50%,Red,-7,F,F,CORRECT,808,Draft,EPIC
ENDOATTNTASK,7 DVA,28,470,<,VALID 80%,Green,-7,J,J,CORRECT,980,Draft,EPIC
ENDOATTNTASK,7 DVA,29,539,+,NEUTRAL 50%,Red,7,F,F,CORRECT,1211,Draft,EPIC
ENDOATTNTASK,7 DVA,30,328,<,VALID 80%,Blue,-7,F,F,CORRECT,922,Draft,EPIC
ENDOATTNTASK,7 DVA,31,331,<,VALID 80%,Blue,-7,F,F,CORRECT,1169,Draft,EPIC
ENDOATTNTASK,7 DVA,32,557,>,INVALID 20%,Green,-7,J,J,CORRECT,643,Draft,EPIC
