
TASKTYPE,ECCMAGNITUDE,TRIAL,RT,CUE,CUEVALIDITY,STIMCOLOR,STIMLOC,RESPONSE,CORRECTRESPONSE,ACCURACY,STIMWAITTIME,TAG,RULES
ENDOATTNTASK,7 DVA,41,392,<,VALID 80%,Green,-7,J,J,CORRECT,1158,Draft,endo-atten.prs
ENDOATTNTASK,7 DVA,42,398,<,VALID 80%,Green,-7,J,J,CORRECT,1002,Draft,endo-atten.prs
ENDOATTNTASK,7 DVA,43,414,+,NEUTRAL 50%,Green,-7,J,J,CORRECT,836,Draft,endo-atten.prs
ENDOATTNTASK,7 DVA,44,400,<,VALID 80%,Yellow,-7,J,J,CORRECT,1150,Draft,endo-atten.prs
ENDOATTNTASK,7 DVA,45,421,+,NEUTRAL 50%,Green,-7,J,J,CORRECT,879,Draft,endo-atten.prs
ENDOATTNTASK,7 DVA,46,479,>,VALID 80%,Red,7,F,F,CORRECT,871,Draft,endo-atten.prs
ENDOATTNTASK,7 DVA,47,451,<,VALID 80%,Yellow,-7,J,J,CORRECT,949,Draft,endo-atten.prs
ENDOATTNTASK,7 DVA,48,429,+,NEUTRAL 50%,Green,-7,J,J,CORRECT,1021,Draft,endo-atten.prs
ENDOATTNTASK,7 DVA,49,496,+,NEUTRAL 50%,Red,-7,F,F,CORRECT,504,Draft,endo-atten.prs
ENDOATTNTASK,7 DVA,50,529,+,NEUTRAL 50%,Green,-7,J,J,CORRECT,671,Draft,endo-atten.prs
ENDOATTNTASK,7 DVA,51,460,<,VALID 80%,Blue,-7,F,F,CORRECT,1090,Draft,endo-atten.prs
ENDOATTNTASK,7 DVA,52,462,>,VALID 80%,Green,7,J,J,CORRECT,1238,Draft,endo-atten.prs
ENDOATTNTASK,7 DVA,53,503,+,NEUTRAL 50%,Blue,-7,F,F,CORRECT,1047,Draft,endo-atten.prs
ENDOATTNTASK,7 DVA,54,495,<,VALID 80%,Green,-7,J,J,CORRECT,905,Draft,endo-atten.prs
ENDOATTNTASK,7 DVA,55,422,+,NEUTRAL 50%,Green,-7,J,J,CORRECT,1278,Draft,endo-atten.prs
ENDOATTNTASK,7 DVA,56,383,>,VALID 80%,Green,7,J,J,CORRECT,817,Draft,endo-atten.prs
ENDOATTNTASK,7 DVA,57,487,<,VALID 80%,Blue,-7,F,F,CORRECT,863,Draft,endo-atten.prs
ENDOATTNTASK,7 DVA,58,457,>,VALID 80%,Green,7,J,J,CORRECT,1093,Draft,endo-atten.prs
ENDOATTNTASK,7 DVA,59,456,>,VALID 80%,Red,7,F,F,CORRECT,644,Draft,endo-atten.prs
ENDOATTNTASK,7 DVA,60,389,<,VALID 80%,Blue,-7,F,F,CORRECT,561,Draft,endo-atten.prs
ENDOATTNTASK,7 DVA,61,345,>,VALID 80%,Blue,7,F,F,CORRECT,1255,Draft,endo-atten.prs
ENDOATTNTASK,7 DVA,62,349,>,VALID 80%,Red,7,F,F,CORRECT,801,Draft,endo-atten.prs
ENDOATTNTASK,7 DVA,63,418,+,NEUTRAL 50%,Red,7,F,F,CORRECT,682,Draft,endo-atten.prs
ENDOATTNTASK,7 DVA,64,487,+,NEUTRAL 50%,Green,7,J,J,CORRECT,1263,Draft,endo-atten.prs
ENDOATTNTASK,7 DVA,65,400,+,NEUTRAL 50%,Green,-7,J,J,CORRECT,1100,Draft,endo-atten.prs
ENDOATTNTASK,7 DVA,66,478,>,VALID 80%,Red,7,F,F,CORRECT,822,Draft,endo-atten.prs
ENDOATTNTASK,7 DVA,67,387,<,VALID 80%,Blue,-7,F,F,CORRECT,663,Draft,endo-atten.prs
ENDOATTNTASK,7 DVA,68,478,<,VALID 80%,Green,-7,J,J,CORRECT,1272,Draft,endo-atten.prs
ENDOATTNTASK,7 DVA,69,521,+,NEUTRAL 50%,Blue,-7,F,F,CORRECT,1079,Draft,endo-atten.prs
ENDOATTNTASK,7 DVA,70,468,<,VALID 80%,Yellow,-7,J,J,CORRECT,982,Draft,endo-atten.prs
ENDOATTNTASK,7 DVA,71,397,+,NEUTRAL 50%,Yellow,-7,J,J,CORRECT,503,Draft,endo-atten.prs
ENDOATTNTASK,7 DVA,72,508,+,NEUTRAL 50%,Blue,-7,F,F,CORRECT,1042,Draft,endo-atten.prs
ENDOATTNTASK,7 DVA,73,456,>,INVALID 20%,Blue,-7,F,F,CORRECT,1044,Draft,endo-atten.prs
ENDOATTNTASK,7 DVA,74,521,<,INVALID 20%,Yellow,7,J,J,CORRECT,979,Draft,endo-atten.prs
ENDOATTNTASK,7 DVA,75,488,<,VALID 80%,Red,-7,F,F,CORRECT,662,Draft,endo-atten.prs
ENDOATTNTASK,7 DVA,76,484,<,VALID 80%,Yellow,-7,J,J,CORRECT,1266,Draft,endo-atten.prs
ENDOATTNTASK,7 DVA,77,478,+,NEUTRAL 50%,Red,7,F,F,CORRECT,672,Draft,endo-atten.prs
ENDOATTNTASK,7 DVA,78,426,+,NEUTRAL 50%,Blue,-7,F,F,CORRECT,674,Draft,endo-atten.prs
ENDOATTNTASK,7 DVA,79,382,>,VALID 80%,Red,7,F,F,CORRECT,1168,Draft,endo-atten.prs
ENDOATTNTASK,7 DVA,80,384,>,VALID 80%,Red,7,F,F,CORRECT,866,Draft,endo-atten.prs
ENDOATTNTASK,7 DVA,81,520,+,NEUTRAL 50%,Yellow,-7,J,J,CORRECT,830,Draft,endo-atten.prs
ENDOATTNTASK,7 DVA,82,452,>,VALID 80%,Red,7,F,F,CORRECT,848,Draft,endo-atten.prs
ENDOATTNTASK,7 DVA,83,395,+,NEUTRAL 50%,Blue,7,F,F,CORRECT,1005,Draft,endo-atten.prs
ENDOATTNTASK,7 DVA,84,537,<,INVALID 20%,Green,7,J,J,CORRECT,563,Draft,endo-atten.prs
ENDOATTNTASK,7 DVA,85,374,>,VALID 80%,Green,7,J,J,CORRECT,876,Draft,endo-atten.prs
ENDOATTNTASK,7 DVA,86,367,>,VALID 80%,Green,7,J,J,CORRECT,1183,Draft,endo-atten.prs
ENDOATTNTASK,7 DVA,87,338,>,VALID 80%,Green,7,J,J,CORRECT,1062,Draft,endo-atten.prs
ENDOATTNTASK,7 DVA,88,355,<,VALID 80%,Yellow,-7,J,J,CORRECT,645,Draft,endo-atten.prs
ENDOATTNTASK,7 DVA,89,420,+,NEUTRAL 50%,Green,-7,J,J,CORRECT,1080,Draft,endo-atten.prs
ENDOATTNTASK,7 DVA,90,360,<,VALID 80%,Green,-7,J,J,CORRECT,690,Draft,endo-atten.prs
ENDOATTNTASK,7 DVA,91,456,>,INVALID 20%,Yellow,-7,J,J,CORRECT,1194,Draft,endo-atten.prs
ENDOATTNTASK,7 DVA,92,360,<,VALID 80%,Green,-7,J,J,CORRECT,890,Draft,endo-atten.prs
ENDOATTNTASK,7 DVA,93,368,>,VALID 80%,Green,7,J,J,CORRECT,632,Draft,endo-atten.prs
ENDOATTNTASK,7 DVA,94,480,<,VALID 80%,Blue,-7,F,F,CORRECT,620,Draft,endo-atten.prs
ENDOATTNTASK,7 DVA,95,477,+,NEUTRAL 50%,Green,7,J,J,CORRECT,973,Draft,endo-atten.prs
ENDOATTNTASK,7 DVA,96,481,>,VALID 80%,Red,7,F,F,CORRECT,669,Draft,endo-atten.prs
ENDOATTNTASK,7 DVA,97,426,+,NEUTRAL 50%,Red,-7,F,F,CORRECT,624,Draft,endo-atten.prs
ENDOATTNTASK,7 DVA,98,456,>,INVALID 20%,Red,-7,F,F,CORRECT,794,Draft,endo-atten.prs
ENDOATTNTASK,7 DVA,99,398,+,NEUTRAL 50%,Blue,7,F,F,CORRECT,552,Draft,endo-atten.prs
ENDOATTNTASK,7 DVA,100,358,>,VALID 80%,Blue,7,F,F,CORRECT,742,Draft,endo-atten.prs
ENDOATTNTASK,7 DVA,101,442,>,INVALID 20%,Blue,-7,F,F,CORRECT,1058,Draft,endo-atten.prs
ENDOATTNTASK,7 DVA,102,448,>,VALID 80%,Yellow,7,J,J,CORRECT,952,Draft,endo-atten.prs
ENDOATTNTASK,7 DVA,103,433,<,INVALID 20%,Yellow,7,J,J,CORRECT,867,Draft,endo-atten.prs
ENDOATTNTASK,7 DVA,104,491,+,NEUTRAL 50%,Blue,7,F,F,CORRECT,509,Draft,endo-atten.prs
ENDOATTNTASK,7 DVA,105,500,+,NEUTRAL 50%,Yellow,7,J,J,CORRECT,950,Draft,endo-atten.prs
ENDOATTNTASK,7 DVA,106,468,>,VALID 80%,Red,7,F,F,CORRECT,1082,Draft,endo-atten.prs
ENDOATTNTASK,7 DVA,107,471,>,VALID 80%,Yellow,7,J,J,CORRECT,879,Draft,endo-atten.prs
ENDOATTNTASK,7 DVA,108,370,>,VALID 80%,Yellow,7,J,J,CORRECT,1080,Draft,endo-atten.prs
ENDOATTNTASK,7 DVA,109,374,>,VALID 80%,Green,7,J,J,CORRECT,526,Draft,endo-atten.prs
ENDOATTNTASK,7 DVA,110,523,<,INVALID 20%,Blue,7,F,F,CORRECT,827,Draft,endo-atten.prs
ENDOATTNTASK,7 DVA,111,523,<,INVALID 20%,Yellow,7,J,J,CORRECT,527,Draft,endo-atten.prs
ENDOATTNTASK,7 DVA,112,393,<,VALID 80%,Yellow,-7,J,J,CORRECT,1257,Draft,endo-atten.prs
ENDOATTNTASK,7 DVA,113,384,>,VALID 80%,Yellow,7,J,J,CORRECT,766,Draft,endo-atten.prs
ENDOATTNTASK,7 DVA,114,547,>,INVALID 20%,Blue,-7,F,F,CORRECT,853,Draft,endo-atten.prs
ENDOATTNTASK,7 DVA,115,485,<,VALID 80%,Yellow,-7,J,J,CORRECT,1015,Draft,endo-atten.prs
ENDOATTNTASK,7 DVA,116,349,>,VALID 80%,Yellow,7,J,J,CORRECT,1051,Draft,endo-atten.prs
ENDOATTNTASK,7 DVA,117,452,>,VALID 80%,Blue,7,F,F,CORRECT,598,Draft,endo-atten.prs
ENDOATTNTASK,7 DVA,118,368,>,VALID 80%,Red,7,F,F,CORRECT,932,Draft,endo-atten.prs
ENDOATTNTASK,7 DVA,119,461,<,VALID 80%,Yellow,-7,J,J,CORRECT,939,Draft,endo-atten.prs
ENDOATTNTASK,7 DVA,120,374,<,VALID 80%,Green,-7,J,J,CORRECT,1076,Draft,endo-atten.prs
ENDOATTNTASK,7 DVA,121,395,<,INVALID 20%,Yellow,7,J,J,CORRECT,805,Draft,endo-atten.prs
ENDOATTNTASK,7 DVA,122,407,+,NEUTRAL 50%,Yellow,7,J,J,CORRECT,743,Draft,endo-atten.prs
ENDOATTNTASK,7 DVA,123,408,+,NEUTRAL 50%,Green,-7,J,J,CORRECT,892,Draft,endo-atten.prs
ENDOATTNTASK,7 DVA,124,463,<,VALID 80%,Red,-7,F,F,CORRECT,687,Draft,endo-atten.prs
ENDOATTNTASK,7 DVA,125,379,+,NEUTRAL 50%,Blue,7,F,F,CORRECT,771,Draft,endo-atten.prs
ENDOATTNTASK,7 DVA,126,373,<,VALID 80%,Blue,-7,F,F,CORRECT,977,Draft,endo-atten.prs
ENDOATTNTASK,7 DVA,127,559,>,INVALID 20%,Green,-7,J,J,CORRECT,541,Draft,endo-atten.prs
ENDOATTNTASK,7 DVA,128,416,<,INVALID 20%,Green,7,J,J,CORRECT,1184,Draft,endo-atten.prs
ENDOATTNTASK,7 DVA,129,430,<,INVALID 20%,Yellow,7,J,J,CORRECT,720,Draft,endo-atten.prs
ENDOATTNTASK,7 DVA,130,475,>,VALID 80%,Red,7,F,F,CORRECT,1125,Draft,endo-atten.prs
ENDOATTNTASK,7 DVA,131,487,<,VALID 80%,Yellow,-7,J,J,CORRECT,513,Draft,endo-atten.prs
ENDOATTNTASK,7 DVA,132,351,>,VALID 80%,Yellow,7,J,J,CORRECT,749,Draft,endo-atten.prs
ENDOATTNTASK,7 DVA,133,349,>,VALID 80%,Yellow,7,J,J,CORRECT,1151,Draft,endo-atten.prs
ENDOATTNTASK,7 DVA,134,347,>,VALID 80%,Green,7,J,J,CORRECT,603,Draft,endo-atten.prs
ENDOATTNTASK,7 DVA,135,417,+,NEUTRAL 50%,Yellow,7,J,J,CORRECT,583,Draft,endo-atten.prs
ENDOATTNTASK,7 DVA,136,508,+,NEUTRAL 50%,Red,7,F,F,CORRECT,992,Draft,endo-atten.prs
ENDOATTNTASK,7 DVA,137,499,<,VALID 80%,Yellow,-7,J,J,CORRECT,801,Draft,endo-atten.prs
ENDOATTNTASK,7 DVA,138,432,<,INVALID 20%,Green,7,J,J,CORRECT,1018,Draft,endo-atten.prs
ENDOATTNTASK,7 DVA,139,427,+,NEUTRAL 50%,Green,-7,J,J,CORRECT,973,Draft,endo-atten.prs
ENDOATTNTASK,7 DVA,140,500,<,INVALID 20%,Blue,7,F,F,CORRECT,700,Draft,endo-atten.prs
ENDOATTNTASK,7 DVA,141,429,+,NEUTRAL 50%,Red,-7,F,F,CORRECT,1071,Draft,endo-atten.prs
ENDOATTNTASK,7 DVA,142,402,+,NEUTRAL 50%,Red,-7,F,F,CORRECT,648,Draft,endo-atten.prs
ENDOATTNTASK,7 DVA,143,496,<,VALID 80%,Yellow,-7,J,J,CORRECT,654,Draft,endo-atten.prs
ENDOATTNTASK,7 DVA,144,447,>,VALID 80%,Red,7,F,F,CORRECT,753,Draft,endo-atten.prs
ENDOATTNTASK,7 DVA,145,421,+,NEUTRAL 50%,Red,7,F,F,CORRECT,1029,Draft,endo-atten.prs
ENDOATTNTASK,7 DVA,146,372,<,VALID 80%,Blue,-7,F,F,CORRECT,1128,Draft,endo-atten.prs
ENDOATTNTASK,7 DVA,147,456,>,VALID 80%,Yellow,7,J,J,CORRECT,644,Draft,endo-atten.prs
ENDOATTNTASK,7 DVA,148,481,<,VALID 80%,Blue,-7,F,F,CORRECT,519,Draft,endo-atten.prs
ENDOATTNTASK,7 DVA,149,476,+,NEUTRAL 50%,Yellow,7,J,J,CORRECT,1274,Draft,endo-atten.prs
ENDOATTNTASK,7 DVA,150,555,>,INVALID 20%,Red,-7,F,F,CORRECT,1195,Draft,endo-atten.prs
ENDOATTNTASK,7 DVA,151,520,+,NEUTRAL 50%,Yellow,7,J,J,CORRECT,680,Draft,endo-atten.prs
ENDOATTNTASK,7 DVA,152,516,+,NEUTRAL 50%,Red,-7,F,F,CORRECT,934,Draft,endo-atten.prs
ENDOATTNTASK,7 DVA,153,436,+,NEUTRAL 50%,Blue,-7,F,F,CORRECT,1214,Draft,endo-atten.prs
ENDOATTNTASK,7 DVA,154,419,+,NEUTRAL 50%,Red,7,F,F,CORRECT,781,Draft,endo-atten.prs
ENDOATTNTASK,7 DVA,155,366,<,VALID 80%,Blue,-7,F,F,CORRECT,534,Draft,endo-atten.prs
ENDOATTNTASK,7 DVA,156,344,>,VALID 80%,Blue,7,F,F,CORRECT,956,Draft,endo-atten.prs
ENDOATTNTASK,7 DVA,157,469,<,VALID 80%,Green,-7,J,J,CORRECT,731,Draft,endo-atten.prs
ENDOATTNTASK,7 DVA,158,421,+,NEUTRAL 50%,Green,7,J,J,CORRECT,1029,Draft,endo-atten.prs
ENDOATTNTASK,7 DVA,159,364,>,VALID 80%,Green,7,J,J,CORRECT,1136,Draft,endo-atten.prs
ENDOATTNTASK,7 DVA,160,542,>,INVALID 20%,Red,-7,F,F,CORRECT,758,Draft,endo-atten.prs
ENDOATTNTASK,7 DVA,161,394,<,VALID 80%,Blue,-7,F,F,CORRECT,656,Draft,endo-atten.prs
ENDOATTNTASK,7 DVA,162,516,+,NEUTRAL 50%,Green,7,J,J,CORRECT,934,Draft,endo-atten.prs
ENDOATTNTASK,7 DVA,163,415,+,NEUTRAL 50%,Yellow,7,J,J,CORRECT,1285,Draft,endo-atten.prs
ENDOATTNTASK,7 DVA,164,497,<,INVALID 20%,Blue,7,F,F,CORRECT,653,Draft,endo-atten.prs
ENDOATTNTASK,7 DVA,165,357,>,VALID 80%,Red,7,F,F,CORRECT,1243,Draft,endo-atten.prs
ENDOATTNTASK,7 DVA,166,494,<,VALID 80%,Green,-7,J,J,CORRECT,656,Draft,endo-atten.prs
ENDOATTNTASK,7 DVA,167,441,>,VALID 80%,Blue,7,F,F,CORRECT,1159,Draft,endo-atten.prs
ENDOATTNTASK,7 DVA,168,533,<,INVALID 20%,Green,7,J,J,CORRECT,567,Draft,endo-atten.prs
ENDOATTNTASK,7 DVA,169,455,<,VALID 80%,Blue,-7,F,F,CORRECT,1095,Draft,endo-atten.prs
ENDOATTNTASK,7 DVA,170,495,+,NEUTRAL 50%,Green,-7,J,J,CORRECT,905,Draft,endo-atten.prs
ENDOATTNTASK,7 DVA,171,486,<,VALID 80%,Blue,-7,F,F,CORRECT,714,Draft,endo-atten.prs
ENDOATTNTASK,7 DVA,172,433,>,INVALID 20%,Blue,-7,F,F,CORRECT,1267,Draft,endo-atten.prs
ENDOATTNTASK,7 DVA,173,488,+,NEUTRAL 50%,Green,7,J,J,CORRECT,912,Draft,endo-atten.prs
ENDOATTNTASK,7 DVA,174,406,+,NEUTRAL 50%,Green,-7,J,J,CORRECT,1094,Draft,endo-atten.prs
ENDOATTNTASK,7 DVA,175,430,>,INVALID 20%,Green,-7,J,J,CORRECT,1270,Draft,endo-atten.prs
ENDOATTNTASK,7 DVA,176,367,>,VALID 80%,Green,7,J,J,CORRECT,583,Draft,endo-atten.prs
ENDOATTNTASK,7 DVA,177,546,>,INVALID 20%,Blue,-7,F,F,CORRECT,804,Draft,endo-atten.prs
ENDOATTNTASK,7 DVA,178,423,+,NEUTRAL 50%,Red,-7,F,F,CORRECT,577,Draft,endo-atten.prs
ENDOATTNTASK,7 DVA,179,380,+,NEUTRAL 50%,Red,7,F,F,CORRECT,1070,Draft,endo-atten.prs
ENDOATTNTASK,7 DVA,180,480,+,NEUTRAL 50%,Yellow,7,J,J,CORRECT,970,Draft,endo-atten.prs
ENDOATTNTASK,7 DVA,181,499,+,NEUTRAL 50%,Blue,-7,F,F,CORRECT,551,Draft,endo-atten.prs
ENDOATTNTASK,7 DVA,182,460,<,VALID 80%,Green,-7,J,J,CORRECT,690,Draft,endo-atten.prs
ENDOATTNTASK,7 DVA,183,493,+,NEUTRAL 50%,Red,7,F,F,CORRECT,607,Draft,endo-atten.prs
ENDOATTNTASK,7 DVA,184,476,<,VALID 80%,Yellow,-7,J,J,CORRECT,1024,Draft,endo-atten.prs
ENDOATTNTASK,7 DVA,185,547,>,INVALID 20%,Red,-7,F,F,CORRECT,1203,Draft,endo-atten.prs
ENDOATTNTASK,7 DVA,186,514,<,INVALID 20%,Green,7,J,J,CORRECT,886,Draft,endo-atten.prs
ENDOATTNTASK,7 DVA,187,502,+,NEUTRAL 50%,Blue,-7,F,F,CORRECT,598,Draft,endo-atten.prs
ENDOATTNTASK,7 DVA,188,493,<,VALID 80%,Yellow,-7,J,J,CORRECT,607,Draft,endo-atten.prs
ENDOATTNTASK,7 DVA,189,444,>,VALID 80%,Blue,7,F,F,CORRECT,706,Draft,endo-atten.prs
ENDOATTNTASK,7 DVA,190,401,+,NEUTRAL 50%,Red,-7,F,F,CORRECT,649,Draft,endo-atten.prs
ENDOATTNTASK,7 DVA,191,420,+,NEUTRAL 50%,Blue,-7,F,F,CORRECT,980,Draft,endo-atten.prs
ENDOATTNTASK,7 DVA,192,476,+,NEUTRAL 50%,Green,7,J,J,CORRECT,774,Draft,endo-atten.prs
ENDOATTNTASK,7 DVA,193,455,>,VALID 80%,Blue,7,F,F,CORRECT,1245,Draft,endo-atten.prs
ENDOATTNTASK,7 DVA,194,360,<,VALID 80%,Red,-7,F,F,CORRECT,1140,Draft,endo-atten.prs
ENDOATTNTASK,7 DVA,195,501,+,NEUTRAL 50%,Yellow,7,J,J,CORRECT,1149,Draft,endo-atten.prs
ENDOATTNTASK,7 DVA,196,373,<,VALID 80%,Yellow,-7,J,J,CORRECT,1027,Draft,endo-atten.prs
ENDOATTNTASK,7 DVA,197,445,>,VALID 80%,Red,7,F,F,CORRECT,655,Draft,endo-atten.prs
ENDOATTNTASK,7 DVA,198,489,<,VALID 80%,Yellow,-7,J,J,CORRECT,1061,Draft,endo-atten.prs
ENDOATTNTASK,7 DVA,199,557,>,INVALID 20%,Blue,-7,F,F,CORRECT,593,Draft,endo-atten.prs
ENDOATTNTASK,7 DVA,200,363,<,VALID 80%,Red,-7,F,F,CORRECT,537,Draft,endo-atten.prs
ENDOATTNTASK,7 DVA,201,476,<,VALID 80%,Green,-7,J,J,CORRECT,724,Draft,endo-atten.prs
ENDOATTNTASK,7 DVA,202,494,<,VALID 80%,Blue,-7,F,F,CORRECT,906,Draft,endo-atten.prs
ENDOATTNTASK,7 DVA,203,512,<,INVALID 20%,Yellow,7,J,J,CORRECT,588,Draft,endo-atten.prs
ENDOATTNTASK,7 DVA,204,393,<,VALID 80%,Green,-7,J,J,CORRECT,1157,Draft,endo-atten.prs
ENDOATTNTASK,7 DVA,205,420,<,INVALID 20%,Yellow,7,J,J,CORRECT,680,Draft,endo-atten.prs
ENDOATTNTASK,7 DVA,206,541,<,INVALID 20%,Red,7,F,F,CORRECT,1059,Draft,endo-atten.prs
ENDOATTNTASK,7 DVA,207,349,>,VALID 80%,Red,7,F,F,CORRECT,601,Draft,endo-atten.prs
ENDOATTNTASK,7 DVA,208,364,<,VALID 80%,Blue,-7,F,F,CORRECT,1186,Draft,endo-atten.prs
ENDOATTNTASK,7 DVA,209,490,<,VALID 80%,Yellow,-7,J,J,CORRECT,660,Draft,endo-atten.prs
ENDOATTNTASK,7 DVA,210,490,+,NEUTRAL 50%,Red,-7,F,F,CORRECT,1110,Draft,endo-atten.prs
ENDOATTNTASK,7 DVA,211,512,<,INVALID 20%,Yellow,7,J,J,CORRECT,688,Draft,endo-atten.prs
ENDOATTNTASK,7 DVA,212,399,<,INVALID 20%,Yellow,7,J,J,CORRECT,1201,Draft,endo-atten.prs
ENDOATTNTASK,7 DVA,213,401,+,NEUTRAL 50%,Green,7,J,J,CORRECT,1249,Draft,endo-atten.prs
ENDOATTNTASK,7 DVA,214,443,<,INVALID 20%,Yellow,7,J,J,CORRECT,757,Draft,endo-atten.prs
ENDOATTNTASK,7 DVA,215,420,+,NEUTRAL 50%,Yellow,7,J,J,CORRECT,630,Draft,endo-atten.prs
ENDOATTNTASK,7 DVA,216,385,+,NEUTRAL 50%,Yellow,7,J,J,CORRECT,1015,Draft,endo-atten.prs
ENDOATTNTASK,7 DVA,217,528,+,NEUTRAL 50%,Red,-7,F,F,CORRECT,1122,Draft,endo-atten.prs
ENDOATTNTASK,7 DVA,218,395,<,VALID 80%,Blue,-7,F,F,CORRECT,605,Draft,endo-atten.prs
